acu|sharp
aero|air
aerostatic|air not changing
anthrop|human
anti|against; preventing
aqua|water
arthr|jointed
bi|two
bio|life
blenn|slime
brachio|arm
bronch|windpipe
bronto|thunder
cephal|head
cerat|horn
chir|hand
chlor|green
chrom|color
cide|act of killing; killer
claus|shut; closed
con|with)  (together
crypt|hidden; vault
cycl|circular
dactyl|finger; toe
dec|ten
derm|skin
dino|terrifying
dyna|power; motion; energy
dys|ill; bad
en|in; with
entero|intestine
ex|out; from
frater|brother
funct|do
gamy|marriage
gastr|stomach
geno|culture; race
gon|angle
graph|draw; write
hal|to breath
hedron|face
helico|spiral
hex|six
hom|same
homin|human
hydrochloric|green acid water
hypn|sleep
iatry|healing
itis|inflammation
logy|any branch of science
mancy|divination
mar|sea
merg|plunge
meta|change; alteration
mon|one
morph|shape
necr|dead
nex|nect (join; tie
oct|eight
ops|face
ornith|bird
osis|state of being; abnormal condition; action
pach|thick
penta|five
phag|eat
phob|irrational fear
phon|sound
photo|light
pod|foot
polien|to sell
poly|many
psych|mind
pter|wing
punct|point; dot
rex|king
saurus|lizard
sinus|hollow
soror|sister
stasis|standing; still; stopped
steg|covering; roof
sub|below
syn|together; with
tend|strech; strain
the|put
ther|animal; beast
tom|cut; insicion
trema|hole
tri|three
un|one
verse|turn
zo|animal; living being
